Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
1,0.05,0.00165027394547495,0.002,0.01,0.000439614735087876,0.00012209743583416,0.0094770204785484,0.0458953268296326,0.00251700206808158,4.9744612602317e-05,0.000501842273506018,5.06238420988866e-06,1.26559605247216e-06,4.46822283924284e-05,0.000500576677453546,0.000439614734942376,0,2.70976390153072e-05,6.09619424976395e-05,4.50597436726805e-06,0.000253567207120254,5.56893683415265,0.00605918896688001,5.70785770453009
2,0.0501328377558501,0.00165099943021831,0.00209586146887544,0.0120656293954726,0.000514142200100466,0.000136294603974242,0.00950107384656833,0.0453974512666321,0.00250282957036265,5.20295814478142e-05,0.000605259886963055,5.0678113947981e-06,1.26695284869953e-06,4.69617700530161e-05,0.000603992934114356,0.000514142194378326,0,2.63960829438962e-05,8.98507391657171e-05,6.33948165860405e-06,0.00354346233420231,4.08249841304844,0.00599609329396585,5.71817625891301
3,0.0502658873769934,0.00165184827869773,0.00220280539522467,0.0140378612948783,0.000582133335594917,0.000123851151051891,0.00949828685584382,0.0440954825112747,0.00245842599611788,5.45197620739058e-05,0.000703050234559747,5.06645658245072e-06,1.26661414561268e-06,4.94533054914551e-05,0.000701783620414135,0.000582133328879708,0,2.61679730138338e-05,0.000119650290848928,4.68133252251098e-06,0.00287993506748144,2.46221196910023,0.00581168353080873,5.72850252425785
4,0.0503952976771398,0.0016528098746461,0.00229440563346271,0.0158927504111803,0.000638938909139397,0,0.00943965405910238,0.0383548554753913,0.00224817495834636,5.62949235184656e-05,0.00079003505671063,5.0349344082499e-06,1.25873360206247e-06,5.12599891102157e-05,0.000788776323108568,0.000638938902956765,0,2.57024335456253e-05,0.000149837419517389,0,0.00445289613267881,0.818497345813149,0.00504463660572844,5.73853796577041
5,0.0505029386542064,0.00165386591918442,0.00225977691510274,0.0174755894937707,0.000671358650069156,5.93095237616922e-05,0.00936107298754454,0,0,5.49281338208683e-05,0.000861286620251827,4.9956484215718e-06,1.24891210539295e-06,4.99324853992965e-05,0.000860037708146434,0.000671358647523768,0,2.30781396916682e-05,0.000188679060359674,1.15814219791127e-06,0.000649195067560103,0,0,5.746878984852
6,0.0505040426633124,0.00165497625637532,0.00228341150998689,0.0167723816396709,0.000655625236343316,8.66144489352803e-05,0.00935755911702825,0,0,5.54898275877529e-05,0.000826177157490442,4.99138150229783e-06,1.24784537557446e-06,5.04984460854551e-05,0.000824929312114867,0.000655625235796511,0,2.42734366984778e-05,0.000169304076261891,2.15325224999437e-06,0.00292149882064586,0,0,5.746964504272
7,0.0505077354208088,0.00165606130057455,0.00233488516215214,0.0160875817541396,0.00064240200229872,0.000147441316327961,0,0,0,5.6771578093467e-05,0.000792657884802051,4.99138150229783e-06,1.24784537557446e-06,5.17801965911692e-05,0.000791410039426477,0.000642402001953427,0,2.60841165442285e-05,0.000149008037437866,9.27642494766682e-06,0,0,0,5.74725055054612
8,0.0505170089452499,0.00165712515766997,0.00244753067037313,0.0154186964083006,0.000638635754080806,0.000109236124758101,0.00944319442258568,0,0,6.00865784179759e-05,0.000766901150459665,5.03770267420816e-06,1.25942566855204e-06,5.50488757437677e-05,0.000765641724791113,0.000638635754056777,0,2.95034455839761e-05,0.000127005970731982,3.42743608827759e-06,0.00151206538528949,0,0,5.74796886156869
9,0.0505229559653508,0.00165818345704465,0.00252167023714353,0.0147562537006921,0.000625544385848531,0.000134972556192104,0.0094721454948981,0,0,6.21305136117687e-05,0.000736378601953849,5.05283596340523e-06,1.26320899085131e-06,5.70776776483634e-05,0.000735115392962998,0.000625544385597515,0,3.20559022532842e-05,0.000109571007341879,6.19040296808942e-06,0.00197137534157162,0,0,5.74842948521376
10,0.0505313251622829,0.00165922072439691,0.00262178517509201,0.0141092583136873,0.000612277393568732,9.16208929616014e-05,0,0,0,6.48105439601575e-05,0.000706200666464589,5.06645658245072e-06,1.26661414561268e-06,5.97440873777068e-05,0.000704934052318977,0.000612277393350715,0,3.52529916718807e-05,9.26566589489485e-05,2.32844740287546e-06,0,0,0,5.74907768810551
