Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
1,0.05,0.00165027394547495,0.002,0.01,0.000299155026055901,0.000126033665778123,0.00645664271404318,0.0316229083325874,0.00172656460975087,3.38508915543551e-05,0.000341500467668543,3.44492019793536e-06,8.6123004948384e-07,3.04059713564198e-05,0.00034063923761906,0.00029915502400031,0,1.84397706870704e-05,4.14842134275918e-05,0.0001,0.001,6.0681483,0.00417491693611293,5.70785770453009
2,0.0500948944991351,0.00165076763322011,0.00210818025779002,0.0114194083839066,0.000335788507405941,0.000126033781783884,0.00645664865696128,0.0316439634229377,0.00172726057506906,3.56046941853635e-05,0.000389555360320374,3.4449233687595e-06,8.61230842189876e-07,3.2159770816604e-05,0.000388694129478184,0.000335788505664433,0,1.87282308109882e-05,5.29056236464586e-05,0.0001,0.001,6.2679492,0.00417894644843092,5.71522979895747
3,0.0501896577042812,0.00165132194201974,0.00221475685041632,0.0128008941538404,0.000370691727365309,0.000126033781783884,0.00645664865696128,0.0316748334366371,0.00172827949615729,3.73273457896477e-05,0.000436235806709964,3.4449233687595e-06,8.61230842189876e-07,3.38824224208882e-05,0.000435374575867774,0.000370691725325771,0,1.90547536446501e-05,6.46828503426102e-05,0.0001,0.001,6.5857864,0.00417650125720036,5.72258724559161
4,0.050284313125321,0.00165193407340286,0.00231979157264817,0.0141464072230304,0.000404108335941937,0.000126033897789685,0.0064566545998814,0.0317109616651986,0.00172947177243853,3.90201103194203e-05,0.000481616653649616,3.44492653958472e-06,8.6123163489618e-07,3.55751837798356e-05,0.000480755422014719,0.000404108333621426,0,1.94108506851861e-05,7.66470881646148e-05,0.0001,0.001,7,0.00417491734123902,5.72993189762028
5,0.0503788767526012,0.00165260163373235,0.00242333767862295,0.015457528040085,0.000436223320220639,0.000126034013795526,0.00645666054280357,0.0317480774753562,0.00173069569218164,4.06840230639913e-05,0.000525758039415395,3.44492971041103e-06,8.61232427602758e-07,3.72390933535803e-05,0.000524896806987792,0.000436223317637045,0,1.97901609098122e-05,8.86734890957121e-05,0.0001,0.001,7.4823619,0.00417362166788473,5.73726502075029
6,0.0504733574094562,0.00165332253710402,0.00252544169776513,0.0167355288988333,0.000467180081335908,0.000126034245807324,0.00645667242865391,0.0317830386028433,0.00173184836589134,4.23200893175484e-05,0.000568709760237834,3.44493605206687e-06,8.61234013016716e-07,3.88751532654816e-05,0.000567848526224817,0.0004671800785074,0,2.0187950396846e-05,0.000100668447438896,0.0001,0.001,8,0.00417219417398104,5.74458732230282
7,0.0505677586879677,0.00165409493646138,0.00262614517355429,0.0179814506014297,0.000497089902125159,0.000126034361813283,0.00645667837158212,0.0318137921382032,0.00173286114646321,4.39291219172482e-05,0.00061051164433925,3.4449392228964e-06,8.61234805724101e-07,4.04841826943518e-05,0.000609650409533526,0.000497089899070303,0,2.0600587011795e-05,0.000112560510163976,0.0001,0.001,8.5176381,0.00417036117162103,5.75189910278348
8,0.0506620806211648,0.00165491717035145,0.00272548551151366,0.0191961661651817,0.00052604309759336,0.000126034593825319,0.00645669025744462,0.0318393446299817,0.00173370289402375,4.55120228616581e-05,0.000651199461215761,3.44494556455872e-06,8.6123639113968e-07,4.20670772970994e-05,0.000650338224824622,0.000526043094330413,0,2.10253538115745e-05,0.000124295130176799,0.0001,0.001,9,0.00416798999900556,5.75920038650468
9,0.0507563215743851,0.001655787728106,0.00282349717806681,0.0203804372044373,0.000554111966780755,0.000126034825837513,0.00645670214331523,0.0318592385945781,0.00173435821211151,4.70695259223017e-05,0.000690803212708614,3.44495190622537e-06,8.61237976556341e-07,4.36245740160764e-05,0.000689941974732058,0.000554111963328074,0,2.1460095777022e-05,0.000135830011070814,0.0001,0.001,9.4142136,0.00416501933161154,5.76649106868512
10,0.0508504790024889,0.0016567052199006,0.0029202120306068,0.0215349461696608,0.000581357152147444,0.0001260351738561,0.00645671997213629,0.031873416365868,0.00173482606836603,4.86024023055443e-05,0.000729351088835161,3.44496141873341e-06,8.61240354683353e-07,4.51574408868109e-05,0.000728489848480478,0.00058135714852289,0,2.19031552453965e-05,0.000147132699610853,0.0001,0.001,9.7320508,0.00416144067430192,5.77377097435986
