Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
1,0.05,0.00165027394547495,0.002,0.01,0.000486543753889019,0.000128928725469876,0.0105052408727244,0.00157160452719162,0.000152568483268793,5.50548665134173e-05,0.000555414102747376,5.60279540360579e-06,1.40069885090145e-06,4.94520711098115e-05,0.000554013403896475,0.000486543753807088,0,2.99903209691133e-05,6.74696500817679e-05,3.97064905898264e-06,8.255,0.00648031154915807,0.000207486240305184,5.70785770453009
2,0.0500160462448081,0.00165107687595533,0.00209989206032088,0.00965301162805612,0.000476027116162803,0.000152247053077522,0.0104635342547794,0.000687426595957942,6.78423027101431e-05,5.75931772545903e-05,0.000534096225648781,5.58055187068363e-06,1.39513796767091e-06,5.20126253839067e-05,0.00053270108768111,0.000476027116107682,0,3.29715407483636e-05,5.66739715687307e-05,6.67473382716925e-06,8.325,0.00278631711885891,9.07995325202274e-05,5.70910460705669
3,0.0500300505645327,0.00165186283331915,0.00222322071725561,0.00923316918424175,0.000378543976878541,0.00862833845418125,0.00854148564183215,0.000344793932153336,3.42001651314629e-05,4.97973688012119e-05,0.00041711809267893,4.55545922746439e-06,1.1388648068661e-06,4.52419095737475e-05,0.000415979227872064,0.000378543972193239,0,3.01001515411657e-05,3.74352553233364e-05,-2.5504964660457e-06,8.34,0.00139040098425955,4.5549564544973e-05,5.71019273372608
4,0.0507993459934235,0.00165248813604533,0.0108280103522109,0.00888044782590309,0.000473033780170987,0.000130804455090921,0.0101471489798409,0.00110641723326356,0.000108262139462993,0.000287873824099667,0.000476392482901123,5.41181305600453e-06,1.35295326400113e-06,0.000282462011043663,0.000475039529637122,0.000473033780002186,0,0.000263540660041755,2.00574963420759e-06,4.53309926451832e-06,8.115,0.00452433309716435,0.000146179452617246,5.76981809283861
5,0.0508116937356058,0.00165326981875501,0.0109030055625711,0.00850992190533105,0.00025615478170272,8.35503191480383e-05,0.00573046233699188,0.000934265086000699,9.04612753499e-05,0.000163818516889186,0.000257904351652737,3.05624673292432e-06,7.6406168323108e-07,0.000160762270156261,0.000257140289969506,0.000256154780331955,0,0.000150516080637501,9.85509632172676e-07,6.72514395797992e-06,7.98,0.00386302177531463,0.00012162300432777,5.77077276202991
6,0.0508210178631368,0.00165369331172453,0.0109554089803939,0.0083411859305092,0.000207801698652865,4.28006085586276e-05,0.00474142543795429,-8.6750490151327e-05,-8.70736441131073e-06,0.000136241467200464,0.000209195290847949,2.52876036193909e-06,6.32190090484771e-07,0.000133712706838525,0.000208563100757464,0.000207801698579321,0,0.000125400638988642,7.61402177867806e-07,2.05661791239903e-06,7.88,-0.000345736820511354,-1.12933614138941e-05,5.77149361051433
7,0.0508222451732593,0.00165403695200376,0.0109725521442463,0.00812223522460488,0.000416862775021697,-0.000235255700252447,0.00976476320763032,0.000393409020541427,3.90229155603025e-05,0.000281144294441571,0.000419609916362406,5.20787397509524e-06,1.30196849377381e-06,0.000275936420466476,0.000418307947868632,0.00041686277443893,0,0.000259261910250095,1.4451734276372e-06,-1.36601537497861e-06,7.88,0.00158641901413379,5.12160585983952e-05,5.77158849073942
8,0.0507987325526365,0.00165472645843756,0.0106849138202415,0.00773956302237254,0.000412354116622084,0.000118452056351187,0.0101330093608045,0.000548556129004039,5.42618826034566e-05,0.000284314931214477,0.000415075591609122,5.40427193464814e-06,1.35106798366204e-06,0.000278910659279829,0.00041372452362546,0.000412354116621852,0,0.000262416494615265,1.37040700360697e-06,3.5166450258207e-06,7.845,0.00221824166542977,7.14419709327342e-05,5.76977066255845
9,0.0508075550254018,0.00165540879170458,0.0107508198223324,0.00737679123899699,0.000377147252773714,0.000150509538447976,0.00971844796023953,0.000406935745735637,4.03518587409181e-05,0.00027456212675067,0.000379569679213991,5.18317251211946e-06,1.29579312802987e-06,0.000269378954238551,0.000378273886085961,0.000377147252761612,0,0.000254293064145185,1.12663332431227e-06,8.57908640467568e-06,7.775,0.00164148963834399,5.30442377042867e-05,5.7704527847291
10,0.0508187866644338,0.00165603312458259,0.0108515763495993,0.00703580525196573,0.000336292871805125,0.000134513755604895,0.00908126779304455,0.000941532340376275,9.22252599983573e-05,0.000259140227911518,0.000338402095117196,4.8433430727749e-06,1.21083576819373e-06,0.000254296884838743,0.000337191259349002,0.000336292871790912,0,0.000240845169988399,8.98387558051288e-07,7.13803649875209e-06,7.755,0.0038458763046335,0.000122754085903117,5.77132112034166
11,0.0508314803216772,0.00165659003671786,0.010940061222508,0.00678807087449549,0.00034104982200838,5.36038695841183e-05,0.00954263821982759,0.00162536154110167,0.000157156226799346,0.000274661032014918,0.000343157505128764,5.08940731291529e-06,1.27235182822882e-06,0.000269571624702003,0.000341885153300535,0.000341049822008224,0,0.000255929631821919,8.35331292309966e-07,9.76398859443253e-07,7.76,0.00673073012276605,0.000211934043434204,5.77230241312258
12,0.0508399881891237,0.00165715501645502,0.0109456096227842,0.00660050632396562,0.000290211534946989,0.000103184914150209,0.00834913738261784,0.000959858343908301,9.38123811679903e-05,0.000240520532784098,0.000291996653671581,4.4528734969072e-06,1.1132183742268e-06,0.000236067659287191,0.000290883435297354,0.000290211534928682,0,0.000224459197919596,6.71900368628172e-07,4.04343277694225e-06,7.875,0.00392979103414282,0.000125169210861288,5.77296007646391
13,0.0508503269414094,0.00165763594195599,0.0110071107401084,0.00640101121872209,0.000354134052152392,0.000126256491288378,0.0105031567833398,0.000827945729686819,8.14976477908878e-05,0.000304393782182505,0.000356297598645516,5.60168389734123e-06,1.40042097433531e-06,0.000298792098285164,0.000354897177671181,0.000354134052132462,0,0.000284626736233264,7.63125538674162e-07,3.7663026729918e-06,8.015,0.0033648316915799,0.000107980560059332,5.77375922102836
14,0.0508612235764923,0.00165822296728911,0.0110812395190954,0.00612463126481151,0.000112535478782814,4.65457101713855e-05,0.00348721917630752,-0.000469297150359192,-4.82546308383847e-05,0.000101800200360662,0.000113219735107368,1.8598503200091e-06,4.64962580002276e-07,9.99403500406524e-05,0.000112754772527366,0.000112535478022436,0,9.5438932262325e-05,2.19294503404606e-07,5.01598760508708e-06,8.03,-0.00182798782617099,-6.12148916254244e-05,5.77460143157508
