Dataset {
  Sequence {
    String PC_Date (ddmmyy);
    String PC_time (hhmmss);
    Float32 latitude;
    Float32 longitude;
    Float32 calibrated_ATM_xCO2_dry;
    Float32 calibrated_SW_xCO2_dry;
    Float32 ATM_pCO2_wet;
    Float32 SW_pCO2_wet_equil_T;
    Float32 SW_pCO2_wet_SST;
    Float32 SW_fCO2_wet;
  } s;
} s;
---------------------------------------------
s.PC_Date, s.PC_time, s.latitude, s.longitude, s.calibrated_ATM_xCO2_dry, s.calibrated_SW_xCO2_dry, s.ATM_pCO2_wet, s.SW_pCO2_wet_equil_T, s.SW_pCO2_wet_SST, s.SW_fCO2_wet
"31117", "41835", 50.7372, -126.9891, NaN, 898.43, NaN, NaN, NaN, NaN
"31117", "42035", 50.7311, -126.9777, NaN, 906.69, NaN, NaN, NaN, NaN
"31117", "42236", 50.7251, -126.9662, NaN, 896.78, NaN, NaN, NaN, NaN
"31117", "42438", 50.7194, -126.9547, NaN, 902.15, NaN, NaN, NaN, NaN
"31117", "42638", 50.7137, -126.9433, NaN, 895.99, NaN, NaN, NaN, NaN
"31117", "42839", 50.7077, -126.9319, NaN, 872.67, NaN, NaN, NaN, NaN
"31117", "43040", 50.7017, -126.9204, NaN, 854.92, NaN, NaN, NaN, NaN
"31117", "43241", 50.6957, -126.9091, NaN, 847.19, NaN, NaN, NaN, NaN
"31117", "43441", 50.6896, -126.8975, NaN, 840.97, NaN, NaN, NaN, NaN
"31117", "43642", 50.6835, -126.8859, NaN, 833.46, NaN, NaN, NaN, NaN
"31117", "43843", 50.6773, -126.8745, NaN, 835.9, NaN, NaN, NaN, NaN
"31117", "44044", 50.671, -126.8631, NaN, 837.09, NaN, NaN, NaN, NaN
"31117", "44245", 50.6644, -126.8517, NaN, 833.11, NaN, NaN, NaN, NaN
"31117", "44446", 50.658, -126.8403, NaN, 822.68, NaN, NaN, NaN, NaN
"31117", "44638", 50.6521, -126.8296, 408.5, NaN, NaN, NaN, NaN, NaN
"31117", "44800", 50.6477, -126.8215, 408.56, NaN, NaN, NaN, NaN, NaN
"31117", "44921", 50.6434, -126.8136, 408.44, NaN, NaN, NaN, NaN, NaN
"31117", "45543", 50.6236, -126.7775, NaN, 862.48, NaN, NaN, NaN, NaN
"31117", "45805", 50.6166, -126.7656, NaN, 909.61, NaN, NaN, NaN, NaN
"31117", "50006", 50.6108, -126.7548, NaN, 944.93, NaN, NaN, NaN, NaN
"31117", "50207", 50.6052, -126.7435, NaN, 964.1, NaN, NaN, NaN, NaN
"31117", "50408", 50.5995, -126.7321, NaN, 970.07, NaN, NaN, NaN, NaN
"31117", "50609", 50.5933, -126.7209, NaN, 960.84, NaN, NaN, NaN, NaN
"31117", "50809", 50.5873, -126.7094, NaN, 960.79, NaN, NaN, NaN, NaN
"31117", "51010", 50.5812, -126.6984, NaN, 963.16, NaN, NaN, NaN, NaN
"31117", "51211", 50.5727, -126.6921, NaN, 963.66, NaN, NaN, NaN, NaN
"31117", "51412", 50.5635, -126.6861, NaN, 965.39, NaN, NaN, NaN, NaN
"31117", "51613", 50.554, -126.6871, NaN, 966.96, NaN, NaN, NaN, NaN
"31117", "51814", 50.5455, -126.6939, NaN, 952.71, NaN, NaN, NaN, NaN
"31117", "52015", 50.5374, -126.6898, NaN, 967.05, NaN, NaN, NaN, NaN
"31117", "52215", 50.5336, -126.6774, NaN, 962.85, NaN, NaN, NaN, NaN
"31117", "52416", 50.5298, -126.6645, NaN, 946.74, NaN, NaN, NaN, NaN
"31117", "52617", 50.5261, -126.6516, NaN, 947.88, NaN, NaN, NaN, NaN
"31117", "52819", 50.5224, -126.6387, NaN, 943.67, NaN, NaN, NaN, NaN
"31117", "53019", 50.5188, -126.6259, NaN, 944.72, NaN, NaN, NaN, NaN
"31117", "53220", 50.5152, -126.6131, NaN, 940.6, NaN, NaN, NaN, NaN
"31117", "53421", 50.5114, -126.6002, NaN, 935.86, NaN, NaN, NaN, NaN
"31117", "53621", 50.5076, -126.5872, NaN, 934.59, NaN, NaN, NaN, NaN
"31117", "53844", 50.5064, -126.5709, NaN, 931.53, NaN, NaN, NaN, NaN
"31117", "54045", 50.5059, -126.5566, NaN, 928.58, NaN, NaN, NaN, NaN
"31117", "54246", 50.5052, -126.5425, NaN, 933.02, NaN, NaN, NaN, NaN
"31117", "54446", 50.5044, -126.5283, NaN, 933.79, NaN, NaN, NaN, NaN
"31117", "54647", 50.5036, -126.5141, NaN, 935.15, NaN, NaN, NaN, NaN
"31117", "54848", 50.5027, -126.4999, NaN, 935.15, NaN, NaN, NaN, NaN
"31117", "55049", 50.502, -126.4858, NaN, 933.9, NaN, NaN, NaN, NaN
"31117", "55250", 50.5012, -126.4716, NaN, 929.36, NaN, NaN, NaN, NaN
"31117", "55451", 50.5004, -126.4572, NaN, 924.95, NaN, NaN, NaN, NaN
"41117", "151222", 50.5006, -126.5372, NaN, 961.93, NaN, 962.65, 940.37, 936.69
"41117", "151423", 50.5015, -126.5534, NaN, 961.29, NaN, 961.97, 941.11, 937.43
"41117", "151624", 50.5041, -126.5688, NaN, 958.26, NaN, 958.81, 939.55, 935.89
"41117", "151825", 50.5081, -126.5836, NaN, 957.77, NaN, 958.31, 940.47, 936.8
"41117", "152026", 50.5121, -126.5983, NaN, 959.47, NaN, 959.92, 940.95, 937.28
"41117", "152227", 50.5161, -126.6131, NaN, 963.07, NaN, 963.45, 942.0, 938.33
"41117", "152427", 50.5202, -126.628, NaN, 965.73, NaN, 965.92, 945.67, 941.98
"41117", "152628", 50.5245, -126.6429, NaN, 961.23, NaN, 961.65, 941.21, 937.53
"41117", "152829", 50.5288, -126.6577, NaN, 963.06, NaN, 963.61, 942.01, 938.33
"41117", "153030", 50.5333, -126.6727, NaN, 966.68, NaN, 967.24, 947.2, 943.51
