time,latitude,longitude,TSG_T,TSG_Salinity,calibrated_SW_xCO2_dry,ATM_pCO2_wet,SW_pCO2_wet_equil_T,SW_pCO2_wet_SST
2017-11-03T04:55:00Z,50.6236,-126.7775,NaN,NaN,862.48,NaN,NaN,NaN
2017-11-03T04:58:00Z,50.6166,-126.7656,NaN,NaN,909.61,NaN,NaN,NaN
2017-11-03T05:00:00Z,50.6108,-126.7548,NaN,NaN,944.93,NaN,NaN,NaN
2017-11-03T05:02:00Z,50.6052,-126.7435,NaN,NaN,964.1,NaN,NaN,NaN
2017-11-04T15:46:00Z,50.6014,-126.739,9.46,31.32,980.58,NaN,980.79,957.58
2017-11-04T15:48:00Z,50.6077,-126.752,9.41,31.44,982.81,NaN,983.01,961.03
2017-11-04T15:50:00Z,50.6139,-126.7648,9.38,31.42,987.5,NaN,987.8,965.85
2017-11-04T15:53:00Z,50.6199,-126.7776,9.35,31.37,986.84,NaN,987.21,963.97
2017-11-04T15:55:00Z,50.6267,-126.7884,9.31,31.48,986.26,NaN,986.61,966.06
2017-11-04T15:57:00Z,50.6335,-126.7991,9.33,31.53,979.46,NaN,979.85,958.83
2017-11-10T00:53:00Z,50.6305,-126.7941,9.2,31.78,928.46,NaN,920.81,900.29
2017-11-10T00:56:00Z,50.62,-126.7793,9.37,31.57,927.46,NaN,920.13,894.45
2017-11-10T00:59:00Z,50.6113,-126.7649,9.38,31.59,929.27,NaN,922.24,896.56
2017-11-10T01:01:00Z,50.6036,-126.7489,9.39,31.55,932.78,NaN,925.49,899.83
2017-11-11T14:38:00Z,50.6006,-126.723,9.51,31.44,982.44,NaN,978.24,947.4
2017-11-11T14:40:00Z,50.6064,-126.7342,9.52,31.44,981.67,NaN,977.82,946.64
2017-11-11T14:42:00Z,50.6117,-126.7442,9.74,31.12,979.88,NaN,976.07,936.86
2017-11-11T14:44:00Z,50.6166,-126.7541,9.54,31.46,963.13,NaN,959.28,930.56
2017-11-11T14:46:00Z,50.6214,-126.7642,9.61,31.52,971.17,NaN,967.31,929.77
2017-11-11T14:48:00Z,50.6268,-126.7741,9.47,31.57,970.61,NaN,966.79,933.75
2017-11-11T14:50:00Z,50.6324,-126.784,9.44,31.5,970.9,NaN,967.09,935.56
2017-11-11T14:52:00Z,50.6376,-126.7938,9.48,31.38,973.12,NaN,969.24,936.43
2017-11-16T23:59:00Z,50.6346,-126.7934,9.0,31.76,892.48,NaN,881.6,861.28
2017-11-17T00:01:00Z,50.6295,-126.7835,9.04,31.74,908.64,NaN,897.49,876.91
